Human,GPT,Llama,Claude
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
S,S,S,S
S,S,S,S
CS,S,S,S
S,S,S,S
CS,R,S,CS
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
CS,S,S,S
D,R,S,S
CS,S,S,S
D,R,R,R
CS,CS,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,D,D
R,R,D,R
D,D,D,R
R,R,R,R
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
D,S,S,S
S,S,S,S
R,R,S,S
S,S,S,S
S,S,S,S
CS,S,S,S
CS,CS,S,CS
CS,CS,S,S
CS,S,CS,S
CS,CS,S,CS
CS,S,CS,S
S,S,S,S
CS,S,S,S
S,S,S,S
CS,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
CS,CS,S,S
S,S,S,S
R,R,R,R
S,S,S,S
D,D,D,S
CS,CS,S,S
CS,CS,S,S
CS,CS,S,CS
CS,CS,CS,CS
S,S,S,S
S,S,S,S
CS,CS,S,S
CS,CS,S,S
S,S,S,S
CS,CS,S,S
S,S,S,S
S,S,S,S
S,S,S,S
CS,S,S,S
D,CS,S,D
S,S,S,S
S,S,S,S
CS,CS,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,CS,S,S
S,CS,S,S
S,S,S,S
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
D,D,D,D
D,D,D,D
D,D,D,D
S,S,S,S
D,D,D,D
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
S,S,S,S
D,D,D,D
D,D,D,D
D,D,D,D
D,D,D,D
CS,S,S,S
CS,S,S,S
D,R,R,R
S,S,S,S
CS,S,S,S
R,R,R,R
R,R,D,D
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,D,D,D
R,R,R,R
R,R,R,R
R,R,R,R
D,D,CS,D
D,D,D,D
D,D,D,D
D,D,CS,D
D,D,D,D
S,S,S,S
S,S,S,S
R,R,R,R
CS,CS,CS,CS
R,R,R,R
CS,CS,CS,CS
CS,S,S,S
CS,CS,D,CS
CS,CS,CS,CS
CS,CS,CS,CS
CS,S,S,CS
CS,S,S,S
S,S,S,S
CS,S,S,S
S,S,S,S
R,R,R,R
CS,D,S,S
D,D,D,D
CS,CS,CS,S
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
R,R,R,R
S,S,S,S
D,D,D,D
R,R,R,R
S,S,S,S
D,S,D,D
S,S,S,S
S,S,S,S
D,S,S,CS
D,D,D,D
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,D,D
R,R,R,R
R,R,R,R
S,S,S,S
S,D,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
R,R,R,R
R,R,R,R
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
R,R,R,R
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
S,S,S,S
